idx,time_sec,mar,ear,nose_chin
0,0.0,0.06563073632249394,0.3000387759128372,0.7194150855788771
1,0.033333,0.06728038083850622,0.3060987275578109,0.7236945353152707
2,0.066666,0.06808434568753419,0.2997578067801868,0.7245145910015959
3,0.09999899999999999,0.0688218887607397,0.30163719158727986,0.7338756675038015
4,0.133332,0.06863506734765526,0.3022283058685704,0.7279721297804104
5,0.16666499999999998,0.06913455336126331,0.2967628451848977,0.7254658988520631
6,0.19999799999999998,0.06879285226966349,0.24151529589139442,0.7276539044483945
7,0.23333099999999998,0.07029264720899057,0.06770158134080748,0.731753006088178
8,0.266664,0.06893584411976156,0.05710747653257299,0.7202965243255444
9,0.29999699999999996,0.06930539139601209,0.1485060102362225,0.7437232218237653
10,0.33332999999999996,0.06950770182041374,0.19515261172376394,0.7469816462320752
11,0.36666299999999996,0.06957243306017487,0.2171456612971598,0.7470656919302961
12,0.39999599999999996,0.07069258999785888,0.23820160553287203,0.7338356958876716
13,0.43332899999999996,0.0698008376303618,0.24901013673220296,0.7352402360951671
14,0.46666199999999997,0.06934168374724471,0.2594056927236953,0.7313353002506832
15,0.49999499999999997,0.06946749954397,0.26868042202562303,0.7322820476684261
16,0.533328,0.06948578962242959,0.27264167754358526,0.7297777077479496
17,0.566661,0.06998980448431569,0.27083900546979217,0.7285605202962807
18,0.5999939999999999,0.06871354214713898,0.2745800580950638,0.727663993545868
19,0.633327,0.06795757027843688,0.27608941812362675,0.7288066961961649
20,0.6666599999999999,0.0689372665690653,0.27813772610240733,0.7262825063169076
21,0.699993,0.06961252264839861,0.2811414034768227,0.7288189257959481
22,0.7333259999999999,0.0693822283045338,0.28366860713217085,0.7277368796464269
23,0.766659,0.06889635893434642,0.27970128903856806,0.7315138194062154
24,0.7999919999999999,0.07058390317206975,0.27778893722396814,0.7326398001588301
25,0.833325,0.07019060955707024,0.27715283485502473,0.7307938290114653
26,0.8666579999999999,0.07071906544926151,0.277291178044051,0.7350925867608002
27,0.899991,0.06863918714896644,0.28165360216942714,0.7395904906288697
28,0.9333239999999999,0.07007622623679026,0.27672204474133694,0.7383027784085667
29,0.966657,0.06834588362225041,0.28600087439795857,0.741976302383324
30,0.9999899999999999,0.06527563014674148,0.28455828979170805,0.7284028590592303
31,1.033323,0.06186612498721893,0.28132260196504366,0.7374095884491193
32,1.066656,0.06111209093951017,0.28385520518298274,0.7371267008920281
33,1.0999889999999999,0.06240788506846624,0.28347453343588547,0.7365250867857756
34,1.133322,0.05974413084879347,0.28136568235752213,0.739163806191641
35,1.166655,0.0594806355503505,0.27813342906107036,0.7336616443322617
36,1.1999879999999998,0.06332048042765964,0.28633162080696206,0.7367219087369037
37,1.233321,0.0641933924557863,0.2875518323380257,0.7206970858062894
38,1.266654,0.0627814125230601,0.2799726435194916,0.7274884529315969
39,1.299987,0.06329630524418216,0.27946549676346166,0.7247358229062255
40,1.3333199999999998,0.06271419522830031,0.29060873464820763,0.7244180121974062
41,1.366653,0.06377602075232974,0.2922219367069131,0.7237273371938646
42,1.399986,0.06490888289256354,0.3018127193413944,0.7265464968348889
43,1.433319,0.06411760759646772,0.3055780753645516,0.725204103867615
44,1.4666519999999998,0.06346663892966223,0.2919764767540316,0.7259231128445085
45,1.499985,0.0620788683126246,0.2994028362146255,0.7200721296462463
46,1.533318,0.06234618691293427,0.3015590080442353,0.7203216874397702
47,1.566651,0.06137214915476653,0.28664921664399834,0.7260942629474914
48,1.5999839999999999,0.06135430027338267,0.2910226357338982,0.7316334803809164
49,1.633317,0.06368632147543728,0.29944154449226934,0.7261982650778017
50,1.66665,0.06352252486089666,0.29649578562662143,0.7221424275481745
51,1.699983,0.06553286264777336,0.2891262214658296,0.7153957792704381
52,1.7333159999999999,0.06629256343859727,0.2913756777022053,0.7212969207463258
53,1.766649,0.06786777816923069,0.28338459442920255,0.717504988572677
54,1.799982,0.0649225664403926,0.1402766413594509,0.7119679726639834
55,1.8333149999999998,0.06368058256861826,0.07119006910711564,0.696180028234839
56,1.8666479999999999,0.06549860545828434,0.11329126069049769,0.7059349296782621
57,1.899981,0.06282337847615585,0.20806893675023647,0.7167331419760511
58,1.933314,0.0647486287371027,0.23579007980991717,0.7148488686873836
59,1.9666469999999998,0.06550555463199938,0.257253814870205,0.7172060854789934
60,1.9999799999999999,0.06448015640845989,0.2638480942966874,0.7193993949627632
61,2.0333129999999997,0.06312085470618332,0.2766733500583335,0.7172371663740014
62,2.066646,0.062479751371984055,0.2965481667701674,0.7176527604994589
63,2.099979,0.06081564033814369,0.3113454155420031,0.7319401656103889
64,2.133312,0.05987555928817144,0.32771229758980003,0.7383489647295385
65,2.166645,0.05785967261556292,0.3374311520666635,0.7422854305512153
66,2.1999779999999998,0.05669853298210874,0.339542198138586,0.7387352532616778
67,2.233311,0.05782266533600739,0.34592133958382,0.7461630677342639
68,2.266644,0.05716026996811682,0.3400527259647233,0.7449708401836264
69,2.2999769999999997,0.056894711709261886,0.3320840810033292,0.7363314952575346
70,2.33331,0.05706557498826368,0.331286703201908,0.7304909215982003
71,2.366643,0.0575936568314057,0.32805952215329315,0.7289996594733893
72,2.3999759999999997,0.05772722364087554,0.3312620253557877,0.727801574047818
73,2.433309,0.05723801282160769,0.32492215352857345,0.7320872035758403
74,2.466642,0.05839350401668239,0.3280031519963912,0.7292017720931003
75,2.499975,0.0584106855580965,0.32783323954215016,0.7309644400389237
76,2.533308,0.060200920763469355,0.33447619584723964,0.729339846797302
77,2.5666409999999997,0.06037377810288083,0.3289104987277087,0.7344236716954768
78,2.599974,0.0591503151640076,0.3349638339613921,0.7339412824341179
79,2.633307,0.05738749258004383,0.3174816281989855,0.7376569057944605
80,2.6666399999999997,0.05748314196762905,0.31442734374264397,0.7459531942308913
81,2.699973,0.055030123591278325,0.3414144097290626,0.7473380759453317
82,2.733306,0.05329461311406666,0.35994202269370645,0.7592126638531558
83,2.766639,0.053066381760861876,0.33682279561704037,0.773649851225883
84,2.799972,0.053156435624841604,0.3467038906551748,0.7771071611249123
85,2.8333049999999997,0.04948391948622419,0.34867147781288377,0.7811731890283857
86,2.866638,0.04921982454413569,0.35473135723790006,0.7883883543775956
87,2.899971,0.05150036363436916,0.3505389685467468,0.7964008574210952
88,2.9333039999999997,0.049052205241305644,0.3712993719517669,0.7847008604712922
89,2.966637,0.04963255928796328,0.37356560838968184,0.7728721193921387
90,2.99997,0.051883089600282636,0.3578502888050222,0.7618394307149141
91,3.0333029999999996,0.05186337891553061,0.3532356932576537,0.7426353867570533
92,3.066636,0.05120476610698555,0.3576541838940356,0.7092169304025784
93,3.0999689999999998,0.050686295839062964,0.34677011906873856,0.6925144839348081
94,3.133302,0.052218310769777655,0.3470317716405519,0.6888037376112786
95,3.166635,0.052607724061816075,0.3548437629328498,0.6870309228611923
96,3.1999679999999997,0.05221187881118897,0.3539930531612865,0.6801920050719754
97,3.233301,0.05094941408376505,0.3485123136370875,0.6702103765366306
98,3.266634,0.04879089190808006,0.3447568889943001,0.66200353412792
99,3.2999669999999997,0.047901220198998055,0.3416645812269333,0.6598802115144224
100,3.3333,0.049754114351944934,0.33994533656656645,0.6570701807999539
101,3.3666329999999998,0.049011488200439435,0.3413074303236081,0.6573165681687868
102,3.399966,0.04958316630392288,0.34119677756942335,0.6541049602282382
103,3.433299,0.0509403544285676,0.3371004022066275,0.6539964384385408
104,3.4666319999999997,0.04994518781669575,0.3385794123149125,0.6640646245409304
105,3.499965,0.05051987370170346,0.3374157596896086,0.6651837431274227
106,3.533298,0.05168462849230152,0.3406187084823541,0.6648860335640547
107,3.5666309999999997,0.05124954117282689,0.33708324099221465,0.6691535141962367
108,3.599964,0.052068133285218185,0.33688329095599734,0.6697069787769332
109,3.6332969999999998,0.05099178399243686,0.3372430164299488,0.6703847338808707
110,3.6666299999999996,0.05015591933441781,0.3412029833410646,0.6737331728440764
111,3.699963,0.05135185213796137,0.34498176509425293,0.6695200764587572
112,3.7332959999999997,0.05085039848007367,0.3450291559483167,0.6747640497795763
113,3.766629,0.05012477744979477,0.33475600679107775,0.677886465262295
114,3.799962,0.05100269959879409,0.35033813324686225,0.6704350672837578
115,3.8332949999999997,0.05017230564929433,0.3490715624300849,0.6736179641576574
116,3.866628,0.05101158820072656,0.34813168385749654,0.6685529703187859
117,3.899961,0.0508322751714557,0.341384684439052,0.6723073606693496
118,3.9332939999999996,0.050033499487877456,0.3391925186854348,0.6750149319817262
119,3.966627,0.05073742069391235,0.3428580768912539,0.673239118246165
120,3.9999599999999997,0.04897289110455438,0.3330742118559357,0.6746522498205597
121,4.033293,0.049332042923120885,0.34050043727605167,0.672180332481446
122,4.066625999999999,0.049312748254881224,0.338771917489449,0.682495508029255
123,4.099959,0.04934852841563561,0.3471979193987583,0.6787328306557053
124,4.133292,0.04923863025127024,0.3404711667209417,0.6771319121881533
125,4.166625,0.04932292956614349,0.34355896550995957,0.6748864548615521
126,4.199958,0.04827037450432046,0.3449743157769999,0.6780621380990847
127,4.2332909999999995,0.04882763381959926,0.3469226695948352,0.6789902132396557
128,4.266624,0.04992080911086019,0.3528110698038873,0.683668079048159
129,4.299957,0.052454463878734287,0.3500927159352737,0.6818429097603925
130,4.33329,0.051932987186481164,0.34687861680028975,0.6873440930262037
131,4.366623,0.05103065222972122,0.352139860988703,0.700280915153661
132,4.3999559999999995,0.053624451961111756,0.3597212168312889,0.7130445074075119
