idx,time_sec,mar,ear,nose_chin
0,0.0,0.07128408349972447,0.30714707807149544,0.8236249833983672
1,0.033333,0.07364073241480475,0.2896889909116951,0.8046031669617925
2,0.066666,0.07125114627184055,0.2915631224263614,0.82407225214554
3,0.09999899999999999,0.07279107794362438,0.2686771869859877,0.8197771994329961
4,0.133332,0.0734199759504691,0.2696243957470933,0.8149719104828028
5,0.16666499999999998,0.07218511847639497,0.26514089572642174,0.8174971746242289
6,0.19999799999999998,0.07286749283771375,0.277117447920333,0.8138225723373355
7,0.23333099999999998,0.07239838262298,0.2652166652421044,0.8091567911790297
8,0.266664,0.07093531353110805,0.2713475930546384,0.8164080881552686
9,0.29999699999999996,0.07187759690268972,0.26708896029519225,0.824158668377132
10,0.33332999999999996,0.07144580289949336,0.28197106370414,0.8184209369485154
11,0.36666299999999996,0.07183386434720021,0.26405004319883313,0.8167451926293376
12,0.39999599999999996,0.07041909516635049,0.2696120653375569,0.8232318333632563
13,0.43332899999999996,0.07176949492377202,0.2596775982864862,0.8136525856943653
14,0.46666199999999997,0.07158519750190684,0.28757672903738146,0.8136989308713447
15,0.49999499999999997,0.07133429410501496,0.2856045892049074,0.8081028633240819
16,0.533328,0.07183550313001649,0.2704924733631222,0.8172986136492104
17,0.566661,0.07183892165866426,0.2900351740667356,0.8205474033049919
18,0.5999939999999999,0.07183506288299311,0.29535514461895224,0.8038376973002407
19,0.633327,0.07232431045121948,0.2634562743676798,0.7993807571686552
20,0.6666599999999999,0.07138109937493932,0.2658200198425903,0.8086560256720562
21,0.699993,0.07286516806129752,0.27120628886632814,0.8002369815287116
22,0.7333259999999999,0.07074243876921335,0.263584511546141,0.8090396311542355
23,0.766659,0.07097413492333873,0.2631487516741541,0.8051265581811028
24,0.7999919999999999,0.12832112258467115,0.272501081165471,0.8108277546639057
25,0.833325,0.16786510059909268,0.2596614195482653,0.8217748018033388
26,0.8666579999999999,0.18075649325847823,0.27065539316497644,0.8110903747328174
27,0.899991,0.16702769021627442,0.27061699486852187,0.8135956904676742
28,0.9333239999999999,0.159210170248034,0.2730099790846631,0.8168808967214745
29,0.966657,0.14972766301301096,0.26778656553788516,0.8140267241443472
30,0.9999899999999999,0.15028322610368042,0.26696691302703685,0.8108618002593097
31,1.033323,0.13655242369744947,0.2652421572079339,0.8013717899220474
32,1.066656,0.12953801737546697,0.26304569951657153,0.8102769256322728
33,1.0999889999999999,0.13697877170318554,0.27528251680927496,0.8062327294905127
34,1.133322,0.13329423829081144,0.2548400304737946,0.8044271601810872
35,1.166655,0.14069641029272775,0.2723327288612324,0.8120946173152402
36,1.1999879999999998,0.13501048434875018,0.2658947595862396,0.8011205138154337
37,1.233321,0.13444683963653412,0.254183298311064,0.8095140834033063
